HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,HW11,HW12,HW13,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Quiz8,Quiz9,Quiz10,Quiz11,Recitation1,Recitation2,Recitation3,Recitation4,Recitation5,Recitation7,Recitation8,Recitation9,Recitation11,Recitation12,Recitation13,Exam 1,Exam 2,Final Exam,Credit
76,0,93,100,100,0,0,70,0,33.33333333,0,0,0,9,1,0,6,0,6.67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,92.7,81.81818182,67.56620186,D
82,100,98,100,100,90,91.66666667,88.33333333,98.33333333,100,100,100,96.66666667,10,10,5.454545455,10,10,3.33,10,10,5,7.5,7.5,1,1,1,0,0,0,0,0,0,0,0,75.5,94.54545455,75.36805512,B
83,68.18181818,100,100,100,100,78.33333333,93.33333333,80.83333333,95,58.475,92.5,90,0,4,2.727272727,5,0,6.67,0,0,0,0,7.5,1,1,1,1,1,1,1,0,1,0,0,80,86.36363636,65.47771786,C
85,81.81818182,98,100,100,100,90,93.33333333,90.83333333,100,83.89166667,93.75,93.33333333,10,1,1.818181818,5.5,10,6.67,0,10,10,10,7.5,1,0,1,1,1,1,0,1,1,1,1,75.8,89.09090909,80.84671709,A-
83,9.090909091,95,100,100,94,75,80,86.66666667,80,86.39166667,81.38333333,83.75,9,5,8.181818182,4.5,6.66666,3.33,10,3.33,10,10,0,1,1,1,1,1,1,1,1,1,1,1,79.7,89.09090909,68.92688071,B
80,100,100,100,100,96,90,95,90.83333333,100,100,98.75,90,9,3,6.363636364,5.5,10,6.67,10,6.67,10,10,7.5,0,1,1,1,0,0,0,0,1,1,1,76.2,89.09090909,81.27499468,A-
89,100,98,100,100,99,96.66666667,98.33333333,100,100,100,92.5,93.33333333,10,8,8.181818182,5.5,10,10,10,10,10,10,7.5,1,1,1,1,1,1,1,1,1,1,1,86,84.54545455,94.15605973,A
86,100,97,100,100,97,100,98.33333333,98.33333333,100,100,93.75,93.33333333,5,4,1.818181818,3.5,10,6.67,10,10,10,10,10,1,1,0,1,1,1,1,0,1,1,1,61.2,90.90909091,77.21076922,A-
83,59.09090909,98,0,0,99,91.66666667,86.66666667,0,60,44.45,82.5,0,0,2,5.454545455,5.5,3.33333,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,67.1,88.18181818,84.22310775,C-
84,59.09090909,97,0,0,100,58.33333333,78.33333333,37.5,70,61.95,74.16666667,90,10,1,8.181818182,7,6.66666,3.33,10,3.33,10,7.5,10,1,1,0,0,1,0,0,0,0,0,0,69.6,83.63636364,69.489999,B-
82,77.27272727,93,0,0,95,78.33333333,81.66666667,29.16666667,70,86.95,90.55833333,83.75,2,5,5.454545455,0,6.66666,3.33,10,6.67,2.5,7.5,10,1,1,0,0,1,0,0,0,0,0,0,67.5,85.45454545,49.49747468,C-
97,100,97,100,100,92,91.66666667,96.66666667,91.66666667,97.5,100,100,96.66666667,9,6,4.545454545,5.5,10,6.67,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,84.3,95.45454545,86.66936776,A
79,95.45454545,0,0,0,57,100,90,50,50,0,50,43.75,10,10,5.454545455,4.5,6.66666,0,10,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1,95.45454545,63.59676685,D
88,100,100,100,100,95,62.33333333,93.33333333,93.33333333,77.5,79.58333333,88.33333333,90,2,1,1.818181818,3.5,0,0,0,0,0,0,7.5,0,1,1,1,1,0,1,0,1,1,0,74.8,86.36363636,67.66338941,C
88,95.45454545,100,100,13.79,99,86.66666667,96.66666667,100,100,97.225,88.19166667,93.33333333,8,0,7.272727273,5.5,10,6.67,10,10,10,10,10,1,1,1,1,1,0,1,1,1,1,1,82.2,90.90909091,78.89696962,A-
88,95.45454545,100,0,0,98,100,93.33333333,79.16666667,100,97.225,98.75,93.33333333,10,5,4.545454545,5.5,10,6.67,10,10,10,10,7.5,1,1,1,1,0,0,0,1,1,1,1,80.9,89.09090909,86.08065744,A-
89,77.27272727,97,0,0,92,100,90,79.16666667,95,97.225,47.225,96.66666667,9,10,6.363636364,5.5,10,3.33,0,0,2.5,5,7.5,0,1,0,0,0,0,0,0,0,0,0,76.5,90.90909091,68.21076922,C
70,81.81818182,96,100,100,95,96.66666667,91.66666667,95,90,97.225,95,86.66666667,5,3,0.909090909,4.5,6.66666,6.67,10,6.67,10,10,7.5,1,0,1,1,0,0,1,0,1,1,1,72.1,90,55.21934554,B-
87,0,96,100,100,89,38.33333333,45,45,45,50,43.75,33.33333333,10,3,5.454545455,6,10,6.67,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,83.4,90.90909091,67.46076922,B-
83,100,100,100,100,99,100,90,91.66666667,90,97.5,100,90,10,7,8.181818182,5.5,10,6.67,10,10,7.5,10,7.5,1,1,1,1,1,1,1,1,1,0,0,90.8,89.09090909,83.09671709,A
90,0,97,0,0,85,30,30,39,67.5,81.11666667,84.44166667,83.75,7,0,5.454545455,3.5,10,6.67,10,6.67,2.5,10,7.5,0,0,0,0,0,0,0,1,1,1,1,80.3,89.09090909,76.68580424,B-
90,100,100,0,0,98,88.33333333,95,98.33333333,90,95,100,90,3,3,4.545454545,5,6.66666,6.67,10,3.33,10,10,5,1,0,1,1,1,1,1,1,1,1,1,76.5,91.81818182,76.58327251,B
100,100,100,4.76,0,100,100,96.66666667,100,100,100,100,100,10,6,10,5.5,10,0,10,10,7.5,5,10,1,1,1,1,1,1,1,1,0,1,0,68.9,90.90909091,93.97310775,A
91,95.45454545,94,0,0,100,76.66666667,81.66666667,45.83333333,75,94.725,92.5,90,5,3,0.909090909,4,10,3.33,10,3.33,2.5,0,2.5,1,1,0,1,0,0,1,1,1,1,0,65.2,71.81818182,67.36826883,C-
84,86.36363636,97,100,0,98,68.33333333,70,75.83333333,0,86.95,84.725,80.41666667,8,1,4.545454545,6,3.33333,6.67,10,0,0,5,0,0,1,1,1,0,0,0,1,1,0,0,72.1,56.36363636,71.856662,C
85,81.81818182,96,100,100,97,50,75,24,95,40,53.60833333,96.66666667,9,2,6.363636364,5.5,10,3.33,10,3.33,10,5,5,0,1,1,0,0,1,0,0,1,0,1,80.9,82.72727273,75.44722215,B-
92,90.90909091,97,100,100,71,95,90,100,95,91.66666667,100,100,8,8,3.636363636,6,10,3.33,10,10,5,7.5,7.5,1,1,1,0,0,0,0,0,0,1,1,75.2,81.81818182,73.19722215,B
92,100,99,100,100,100,100,86.66666667,100,100,91.95,100,96.66666667,10,0,0,5.5,10,6.67,10,10,5,7.5,10,1,1,1,1,1,1,1,1,1,1,1,75.5,95.45454545,67.1145822,B+
77,90.90909091,0,0,0,46,100,88.33333333,100,62.5,33.33333333,100,80,10,10,7.272727273,8,6.66666,6.67,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,87.7,95.45454545,72.5,C
90,100,100,0,0,99,96.66666667,91.66666667,99.16666667,95,100,100,90,8,3,0.909090909,5.5,10,6.67,10,6.67,7.5,10,10,1,1,1,0,0,0,1,0,1,1,1,67.8,90,79.68530875,B+
92,100,100,100,100,100,100,100,100,95,100,100,100,8,1,8.181818182,4.5,10,6.67,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,76.2,90.90909091,87.27458521,A
75,100,100,0,0,96,90,81.66666667,85,95,89.16666667,86.66666667,88.33333333,7,2,2.727272727,5.5,10,10,10,6.67,0,10,7.5,1,1,1,0,0,1,1,1,1,1,0,70.4,90.90909091,81.97171709,B+
90,100,100,0,0,100,98.33333333,83.33333333,85,95,78.89166667,92.5,90,8,1,8.181818182,5.5,6.66666,3.33,0,3.33,5,2.5,7.5,1,1,0,0,1,0,0,0,0,0,0,68.9,84.54545455,83.28786792,B-
